Date Saved,10/24/2024 3:13:31 PM
Spectral Data 496[nm],0.153273329139
Spectral Data 497[nm],0.153359428048
Spectral Data 498[nm],0.153216853738
Spectral Data 499[nm],0.152839675546
Spectral Data 500[nm],0.152285873890
Spectral Data 501[nm],0.151615992188
Spectral Data 502[nm],0.150889843702
Spectral Data 503[nm],0.150145277381
Spectral Data 504[nm],0.149395197630
Spectral Data 505[nm],0.148651093245
Spectral Data 506[nm],0.147924572229
Spectral Data 507[nm],0.147232025862
Spectral Data 508[nm],0.146596401930
Spectral Data 509[nm],0.146041005850
Spectral Data 510[nm],0.145588949323
Spectral Data 511[nm],0.145253479481
Spectral Data 512[nm],0.145031854510
Spectral Data 513[nm],0.144919976592
Spectral Data 514[nm],0.144913583994
Spectral Data 515[nm],0.145000457764
Spectral Data 516[nm],0.145152792335
Spectral Data 517[nm],0.145340979099
Spectral Data 518[nm],0.145535469055
Spectral Data 519[nm],0.145717218518
Spectral Data 520[nm],0.145891517401
Spectral Data 521[nm],0.146066963673
Spectral Data 522[nm],0.146252170205
Spectral Data 523[nm],0.146444231272
Spectral Data 524[nm],0.146608948708
Spectral Data 525[nm],0.146706387401
Spectral Data 526[nm],0.146696612239
Spectral Data 527[nm],0.146559864283
Spectral Data 528[nm],0.146344646811
Spectral Data 529[nm],0.146113485098
Spectral Data 530[nm],0.145928949118
Spectral Data 531[nm],0.145830571651
Spectral Data 532[nm],0.145763218403
Spectral Data 533[nm],0.145647376776
Spectral Data 534[nm],0.145403519273
Spectral Data 535[nm],0.144971162081
Spectral Data 536[nm],0.144386336207
Spectral Data 537[nm],0.143715783954
Spectral Data 538[nm],0.143026247621
Spectral Data 539[nm],0.142376169562
Spectral Data 540[nm],0.141772851348
Spectral Data 541[nm],0.141204357147
Spectral Data 542[nm],0.140658631921
Spectral Data 543[nm],0.140129521489
Spectral Data 544[nm],0.139655500650
Spectral Data 545[nm],0.139295607805
Spectral Data 546[nm],0.139108970761
Spectral Data 547[nm],0.139146581292
Spectral Data 548[nm],0.139358729124
Spectral Data 549[nm],0.139641597867
Spectral Data 550[nm],0.139891564846
Spectral Data 551[nm],0.140008673072
Spectral Data 552[nm],0.139956474304
Spectral Data 553[nm],0.139752790332
Spectral Data 554[nm],0.139417260885
Spectral Data 555[nm],0.138969391584
Spectral Data 556[nm],0.138422265649
Spectral Data 557[nm],0.137780338526
Spectral Data 558[nm],0.137047529221
Spectral Data 559[nm],0.136227816343
Spectral Data 560[nm],0.135336041451
Spectral Data 561[nm],0.134409680963
Spectral Data 562[nm],0.133489251137
Spectral Data 563[nm],0.132615193725
Spectral Data 564[nm],0.131823182106
Spectral Data 565[nm],0.131133988500
Spectral Data 566[nm],0.130564928055
Spectral Data 567[nm],0.130133301020
Spectral Data 568[nm],0.129849508405
Spectral Data 569[nm],0.129685416818
Spectral Data 570[nm],0.129599571228
Spectral Data 571[nm],0.129550457001
Spectral Data 572[nm],0.129496946931
Spectral Data 573[nm],0.129398956895
Spectral Data 574[nm],0.129217267036
Spectral Data 575[nm],0.128912672400
Spectral Data 576[nm],0.128449112177
Spectral Data 577[nm],0.127843275666
Spectral Data 578[nm],0.127157062292
Spectral Data 579[nm],0.126453861594
Spectral Data 580[nm],0.125796586275
Spectral Data 581[nm],0.125235661864
Spectral Data 582[nm],0.124805383384
Spectral Data 583[nm],0.124538786709
Spectral Data 584[nm],0.124468624592
Spectral Data 585[nm],0.124594911933
Spectral Data 586[nm],0.124850757420
Spectral Data 587[nm],0.125160932541
Spectral Data 588[nm],0.125450193882
Spectral Data 589[nm],0.125657796860
Spectral Data 590[nm],0.125770017505
Spectral Data 591[nm],0.125782683492
Spectral Data 592[nm],0.125691607594
Spectral Data 593[nm],0.125499889255
Spectral Data 594[nm],0.125247925520
Spectral Data 595[nm],0.124988473952
Spectral Data 596[nm],0.124774336815
Spectral Data 597[nm],0.124653108418
Spectral Data 598[nm],0.124629147351
Spectral Data 599[nm],0.124685101211
Spectral Data 600[nm],0.124803423882
Spectral Data 601[nm],0.124966070056
Spectral Data 602[nm],0.125148653984
Spectral Data 603[nm],0.125321865082
Spectral Data 604[nm],0.125456228852
Spectral Data 605[nm],0.125523343682
Spectral Data 606[nm],0.125530511141
Spectral Data 607[nm],0.125525638461
Spectral Data 608[nm],0.125558778644
Spectral Data 609[nm],0.125679492950
Spectral Data 610[nm],0.125903114676
Spectral Data 611[nm],0.126185476780
Spectral Data 612[nm],0.126476317644
Spectral Data 613[nm],0.126725450158
Spectral Data 614[nm],0.126898109913
Spectral Data 615[nm],0.127000436187
Spectral Data 616[nm],0.127045273781
Spectral Data 617[nm],0.127045467496
Spectral Data 618[nm],0.127007380128
Spectral Data 619[nm],0.126909151673
Spectral Data 620[nm],0.126722022891
Spectral Data 621[nm],0.126417249441
Spectral Data 622[nm],0.125976458192
Spectral Data 623[nm],0.125448763371
Spectral Data 624[nm],0.124911509454
Spectral Data 625[nm],0.124442093074
Spectral Data 626[nm],0.124109305441
Spectral Data 627[nm],0.123883008957
Spectral Data 628[nm],0.123671762645
Spectral Data 629[nm],0.123383283615
Spectral Data 630[nm],0.122930087149
Spectral Data 631[nm],0.122311621904
Spectral Data 632[nm],0.121609970927
Spectral Data 633[nm],0.120911046863
Spectral Data 634[nm],0.120297260582
Spectral Data 635[nm],0.119782857597
Spectral Data 636[nm],0.119297794998
Spectral Data 637[nm],0.118764050305
Spectral Data 638[nm],0.118105724454
Spectral Data 639[nm],0.117316469550
Spectral Data 640[nm],0.116471335292
Spectral Data 641[nm],0.115649849176
Spectral Data 642[nm],0.114929050207
Spectral Data 643[nm],0.114319108427
Spectral Data 644[nm],0.113756045699
Spectral Data 645[nm],0.113171875477
Spectral Data 646[nm],0.112500928342
Spectral Data 647[nm],0.111732766032
Spectral Data 648[nm],0.110913671553
Spectral Data 649[nm],0.110092505813
Spectral Data 650[nm],0.109315432608
Spectral Data 651[nm],0.108572147787
Spectral Data 652[nm],0.107798740268
Spectral Data 653[nm],0.106929197907
Spectral Data 654[nm],0.105900608003
Spectral Data 655[nm],0.104707390070
Spectral Data 656[nm],0.103394262493
Spectral Data 657[nm],0.102007657290
Spectral Data 658[nm],0.100591205060
Spectral Data 659[nm],0.099142968655
Spectral Data 660[nm],0.097624048591
Spectral Data 661[nm],0.095994472504
Spectral Data 662[nm],0.094217650592
Spectral Data 663[nm],0.092305652797
Spectral Data 664[nm],0.090306997299
Spectral Data 665[nm],0.088271111250
Spectral Data 666[nm],0.086244925857
Spectral Data 667[nm],0.084250763059
Spectral Data 668[nm],0.082293480635
Spectral Data 669[nm],0.080377273262
Spectral Data 670[nm],0.078505478799
Spectral Data 671[nm],0.076681777835
Spectral Data 672[nm],0.074909687042
Spectral Data 673[nm],0.073192082345
Spectral Data 674[nm],0.071531742811
Spectral Data 675[nm],0.069926507771
Spectral Data 676[nm],0.068366944790
Spectral Data 677[nm],0.066843025386
Spectral Data 678[nm],0.065344713628
Spectral Data 679[nm],0.063863590360
Spectral Data 680[nm],0.062395766377
Spectral Data 681[nm],0.060938138515
Spectral Data 682[nm],0.059487603605
Spectral Data 683[nm],0.058043032885
Spectral Data 684[nm],0.056614607573
Spectral Data 685[nm],0.055216193199
Spectral Data 686[nm],0.053861647844
Spectral Data 687[nm],0.052563667297
Spectral Data 688[nm],0.051321297884
Spectral Data 689[nm],0.050124872476
Spectral Data 690[nm],0.048964601010
Spectral Data 691[nm],0.047830983996
Spectral Data 692[nm],0.046723160893
Spectral Data 693[nm],0.045650113374
Spectral Data 694[nm],0.044621352106
Spectral Data 695[nm],0.043646339327
Spectral Data 696[nm],0.042724452913
Spectral Data 697[nm],0.041834231466
Spectral Data 698[nm],0.040951717645
Spectral Data 699[nm],0.040052961558
Spectral Data 700[nm],0.039121072739
Spectral Data 701[nm],0.038167085499
Spectral Data 702[nm],0.037209101021
Spectral Data 703[nm],0.036265216768
Spectral Data 704[nm],0.035351224244
Spectral Data 705[nm],0.034465070814
Spectral Data 706[nm],0.033596202731
Spectral Data 707[nm],0.032734006643
Spectral Data 708[nm],0.031868699938
Spectral Data 709[nm],0.030998986214
Spectral Data 710[nm],0.030130261555
Spectral Data 711[nm],0.029268261045
Spectral Data 712[nm],0.028418527916
